Title,Artist,Year,Popularity,Duration (s),Tempo (bpm)
Zoom,Slum Village Featuring Phat Kat,2004,0.490904201,174.21016,48.14
End of Summer,Blank Dogs,2010,0.597429359,228.93669,194.021
Such A Pretty Curse,The Datsuns,2006,nan,161.51465,162.985
Lonely_ Lonely (Album Version),Taking Back Sunday,2009,0.650405808,169.53424,185.025
Mince Meat,Dangerdoom,2005,0.766124535,152.92036,87.808
Angel Eyes,New Grass Revival,1989,0.439202489,270.0273,140.686
Aftermath,Pro-Pain,2004,0.569275651,176.01261,159.921
Skeletons,We Are The Arsenal,2008,0.493626672,182.33424,197.998
Ou Lé,Kassav',1989,nan,274.96444,107.107
Stopover,Pumice,2007,0.392008771,160.78322,129.86
At Large,Passport,1985,0,287.89506,145.566
Pop Porno,Il Genio,2008,nan,418.79465,85.353
So In Love (Remastered),k.d. lang,2010,0.310787614,275.98322,113.76
You Made Me Feel,Clint Black,1994,0.360370583,221.77914,109.408
Purchasing New Hearts,Karen Jo Fields,2005,nan,227.082,148.136
Quiero sentirme iluminada,La Kinky Beat,2008,0.503548141,237.37424,179.978
Dream,Michelle Tumes,2001,0.334706549,250.5922,100.972
Tantric,iio,2005,0,440.55465,84.659
Winter In Your Heart,Roger Clyne & The Peacemakers,2007,0.212045405,293.51138,174.078
Bag Of Bones,The Maccabees,2010,0.642965622,281.05098,137.918
Mondsee Variations: III,Paul Bley,2007,0.212045405,126.32771,87.693
20% Alcohol,Microwave Dave and the Nukes,1995,nan,269.06077,222.75
Echo-Logik,High Tone,2001,0.521659258,295.26159,190.532
What Is Love 2K9,Klaas meets Haddaway,2009,0.501594477,314.20036,137.905
The Answer Is Yes,RODNEY CROWELL,1992,0,260.15302,119.122
Manic Depression,Forever Einstein,1990,nan,158.53669,122.412
How Come U Don't Call Me Anymore?,Stephanie Mills,1983,0.53532593,249.52118,126.693
Wahn!Sinn?,Diary of Dreams,2009,0.579791538,278.90893,140.035
Who Wants To Die?,Dub Trio,2008,0.526706659,203.80689,79.616
Population Control,Strung Out,1994,0.594906716,133.17179,193.374
Le Mec Bien,PIERPOLJAK,1997,0.327736683,240.69179,159.754
Fifteen,Aiden,2004,0.721122271,157.962,132.235
Fuzzbuster,Bass Trip,1996,0,176.27383,98.027
Give Yourself Away,Jack Peñate,2009,0.619610824,177.78893,220.273
Wormhole,Ed Rush & Optical,1998,nan,411.0624,85.044
Secret Spaces,Craig Urquhart,2007,0.497833215,342.15138,112.662
Bakom Varje Fura,Finntroll,2001,0.639107927,134.16444,154.128
Crossbreed,Dark At Dawn,2006,nan,243.35628,120.118
Breaker's Shuffle,Kings of Tomorrow,2000,0.334706549,254.48444,120.165
Whatever You Want,Another Level,1998,0.265861049,256.91383,189.951
Didn't My Lord Deliver Daniel,Manic Street Preachers,2001,0.506905064,126.98077,125.11
Estrada Da Paixão,Olodum,1994,nan,234.10893,101.888
If I'm Saying Nothing,Landon Pigg,2009,nan,323.10812,76.83
Silence,Mad Caddies,2003,0.712916731,169.01179,197.89
That Special Grace,Severed Heads,2005,nan,229.74649,232.06
The Only Thing I Could Wish For,Angela Bofill,1978,0,266.50077,182.324
Still In The Mood,Deacon Blue,1994,nan,241.00526,87.635
All About Housemusic,Yves Murasca,2008,nan,412.76036,0
Soul Deep,The Darkside,1990,0.426197661,420.30975,121.338
I Bruise Easily,Natasha Bedingfield,2004,nan,253.3873,130.891
Destroyer,John Debney,2006,0,125.90975,68.781
White Houses,Vanessa Carlton,2004,0.835455004,224.60036,135.185
Erlöse mich,Cephalgy,2008,0.401486711,274.65098,125.007
Lucky Star,The Legends,2006,0.605819607,129.98485,121.894
Don't Hang Up,Hanna Pakarinen,2004,0.340922756,231.07873,98.984
Hago lo que quiero,Victimas Del Dr Cerebro,2009,0.265861049,185.46893,152.908
Winter In Berlin,Bob Neuwirth,1990,0,250.17424,106.532
Candy,Big Maybelle,1956,nan,158.82404,69.953
Don't Look Back,Peter Doherty,2009,0.499752328,166.39955,94.172
Skywards: A Sylphe's Ascension,Fragments Of Unbecoming,2004,0.260709171,334.78485,136.186
Memory Lane,The Three Suns,1999,0,201.482,107.347
Quelqu'un de bien,LOFOFORA,2005,0.367273416,182.83057,196.022
GOLDEN MAN,D=OUT,2008,nan,117.65506,189.927
Skin Against Skin (Against Savages Y Suefo),[re:jazz],2010,nan,301.47873,96.05
Fingers,Clinic,2004,0.589405068,208.22159,115.849
James Eats Planet; Loves PCP,The Fullblast,2007,0.550859541,203.20608,110.046
Purple Smoke,U Totem,1994,nan,242.36363,104.669
Von Kopf Bis Fuss,Siriusmo,2009,0.505025446,80.90077,72.186
Without You in My Life,LaBelle,2009,nan,329.89995,128.27
Exhale,Thomas Schumacher,2006,0.306249335,434.83383,127.026
Morning View,Silver Scooter,1999,0.289966532,175.80363,156.308
Politically Uncorrect,Gretchen Wilson,2006,0.654450903,203.62404,146.101
Popsicle,John Frizzell,2009,0.392008771,161.27955,145.051
Un Hombre Simple,Los Calzones,2004,0.405115722,199.18322,160.086
Tailspin,Los Straitjackets,1995,nan,254.85016,190.189
Dark Nature Places,Land Of Talk,2007,0.449940204,238.96771,125.18
Confidence,Julien Clerc,1980,nan,205.81832,118.958
Pop Song 2006,Razorlight,2006,0.68808283,160.57424,136.03
Gift Of Screws (Album Version),Lindsey Buckingham,2008,0.419674279,174.2624,134.465
Quiero Ser Santa,Alaska Y Dinarama,1996,nan,198.84363,130.005
Fragezeichen,Azad,2003,0.327736683,162.2722,179.752
Gucci Sweatshirt,Lazer Sword,2009,0.670351269,175.82975,63.181
Wrong Move (feat. Tommy Evans),Foreign Beggars,2003,0.610470705,202.70975,118.923
Brother L.A. (Album Version),Daniel Lanois,1993,0.515313991,258.01098,109.771
Rosie,Marc-André Fortin,2009,0,237.76608,103.944
Reach For The Sky (Conceived In Fire Album Version),Living Sacrifice,2002,0.339514936,188.96934,104.635
I Must Go (LP Version),Lindsey Buckingham,1984,nan,291.16036,98.165
Mine,Brassy,2003,nan,233.76934,114.002
Hidden Conversations,Terry Callier,2009,0.400039657,234.4224,167.547
Miracle (Instrumental),Sally Shapiro,2009,0.349119965,298.37016,120.959
Eewayo,Espresso del Lago,2005,0.349166902,301.87057,160.049
Strong Enough (Marc Andrews Remix Edit),Cher,1999,0.301681757,451.65669,133.009
North Pole Transmission,FC Kahuna,2002,0.666845178,295.18322,89.999
Sick Screams,On Thorns I Lay,2001,0.463271512,275.35628,83.912
Who Been Foolin' You,Scott Dunbar,2008,0.421371861,163.3171,95.167
Who Wants To Live Forever,Maria Arredondo,2008,0.193129255,238.86322,203.34
Disbehave (Yellow Mama Remix),Mechanical Cabaret,2007,nan,360.98567,140.01
Africa,Gigi D'Alessio,2004,nan,234.57914,112.009
Another Lonely Song,Tammy Wynette,1996,nan,178.12853,118.813
I Don't Want To Talk About It,The 411;JP Esq,2004,nan,275.90485,86.049
Wet Your Beak,Skeewiff,2005,0.44082644,282.48771,136.998
Can't Keep Lovin' You,Walter Horton,1989,0.310791536,167.13098,145.775
Two As a Couple,13th Chime,2009,0.368413733,215.87546,96.429
Bankrupt On Selling,Modest Mouse,1997,0.699348472,184.37179,138.571
Hoodoo Voodoo Doll,The Brian Setzer Orchestra,1996,nan,268.042,125.171
Final Curtain,Cross Canadian Ragweed,2005,0.553292936,326.19057,108.049
These Plastic Halos,Mark Heard,1983,0,182.9873,105.644
The Poor Us,Nightfall,2003,0.407901717,184.39791,203.536
John 3:16 (Album Version),Angella Christie,2008,0,247.35302,190.136
Pelican Blonde,The Orchids,1990,0.439525605,249.52118,89.026
We Were Made To Love (album),I Was A Cub Scout,2008,0.483038917,255.4771,160.031
Tomorrows Dead,Solitude Aeturnus,2006,0.55664649,386.21995,88.845
Perfect Day,EMF,1995,nan,215.74485,85.555
Men 2nd ,Wire,1978,nan,101.45914,131.279
Lashed Track,Lisa Lashes,2007,nan,450.08934,145.994
Brokeback Mountain / Gay Marriage / Siegfried And Roy (Good Day To Cross A River),Greg Giraldo,2006,0.697110541,272.24771,127.398
A Pep Talk To Myself,Fiona Apple,2006,0.386790177,124.96934,147.26
Sweet Cherry Wine,Tommy James And The Shondells,1969,nan,269.68771,107.072
Perfidia,Trini López,1993,nan,156.26404,124.557
Step One Two (Mischa Daniels Stringnized Mix),Kaskade,2009,0.653659605,270.00118,112.01
La Condesa Aragonesa,La Costa Brava,2004,0.323112121,159.52934,122.753
Vegetarian Restaurant,Aberfeldy,2004,nan,177.60608,102.773
Fly Away,Marc Romboy vs. Blake Baxter,2008,0.340922756,399.15057,125.004
New Years Eve,Popsicle,2005,nan,192.54812,128.459
The End or Near,All India Radio,2008,0.589405068,318.58893,159.973
Jean Could Be Wrong,Compulsion,1994,nan,340.87138,103.003
Area Codes,Ludacris / Nate Dogg,2001,0.883639197,302.99383,101.082
Leçon 4,83,2001,nan,28.96934,156.95
It Happens Every Day,Dar Williams,2000,0.463271512,232.14975,86.197
Ring Music,7L & Esoteric,2004,0.504108255,169.87383,88.641
Everything Reminds Me Of You,Emmy The Great,2009,0.662286151,354.95138,85.911
Hijack,Virus Syndicate,2010,0.419125893,226.2722,140.009
Sugar Sweet,Jeff Healey,2008,0.43483809,226.16771,118.182
American Society (Album),L7,1990,0.544514002,232.88118,107.347
Where Angels Fear,Breathe,1990,0.215080319,289.82812,127.803
Party Like A Rock Star,Shop Boyz,2007,0.864115874,253.41342,96.699
Tosspint,The Pogues,1996,nan,212.94975,119.97
Lover's Lane,Firehouse,1990,0.537536766,242.72934,169.613
Subliminal,Suicidal Tendencies,1983,0.624180159,165.58975,106.016
Top Of The Hill,Robben Ford & The Blue Line,1995,nan,443.29751,101.904
Underneath Your Clothes,Shakira,2001,nan,412.02893,127.994
Musta Gunilla,Jori Hulkkonen,2009,0.424090811,404.13995,56.665
Snackelåt,Peps Blodsband,1975,0.215080319,319.79057,123.515
Endless Rail,The Inchtabokatables,2001,0.451561531,318.09261,170.099
Raptor,Cirez D,2009,0.340922756,528.77016,0
May I Borrow Your Pillow,Rebekka Bakken,2006,nan,208.32608,116.717
The Boy,Jack Bruce,1995,nan,254.11873,84.418
Dormilón,Once Tiros,2005,0.349119965,232.61995,160.041
Saturday's Child,Brendan Perry,1999,0.601602815,270.99383,71.747
Collection Of Stamps,I'm From Barcelona,2006,0.629911058,169.63873,130.012
Oyeme,Enrique Iglesias,1999,0.577949359,261.19791,103.01
Into The Fire,Bruce Springsteen,2002,0.609608465,304.43057,156.032
La vivouza,Pierre Perret,2002,0,207.0722,147.827
Harnessed in Slums,Archers Of Loaf,1995,0.758175726,195.91791,143.176
Please Believe,Chali 2na,2004,nan,214.83057,75.22
Sneaky Smith (Album Version),Sopwith Camel,2006,0,277.68118,136.871
Beaches Of The World,No Wait Wait,2005,0,177.68444,110.017
Lost Days,Peter Banks,1995,0,156.15955,75.708
Seventeen,Scared Of Chaka,1999,0.431394611,138.84036,182.419
We've Cheapened Everything,Falling Sickness,1999,nan,213.60281,211.304
Get What You Want,Tower Of Power,2003,0.525497119,304.43057,94.444
Lions Roar (Album Version),The Hush Sound,2006,0.252905819,172.09424,127.857
Ori Mmi Maje N'te (4 Song Medley),King Sunny Ade,2007,nan,1069.66159,80.988
Comfort 48,Swell,2003,nan,210.02404,101.999
Destiny (Slavestage Remix By Egoist),Controlled Collapse,2007,0.212045405,219.97669,112
I Don't Love You Anymore,Freddie & The Dreamers,1992,nan,153.93914,96.743
Green Room,The Raunch Hands,1991,0.474054831,220.62975,105.885
No Other Love (Music Prod 'Me & Juliet'),Engelbert Humperdinck,1995,nan,212.92363,185.242
The Death Ramps,Arctic Monkeys,2007,0.787081192,199.13098,108.596
Used Goods,Love Is All,2006,0.709095349,139.04934,143.368
Haista itse vaan,Irwin Goodman,1967,0.215080319,166.86975,111.576
En koskaan,Juice Leskinen,1990,0.299877488,206.2624,99.812
Subtil,Susana Félix,2006,0,256.9922,140.008
Long Time Gone,Dixie Chicks,2002,0.860941213,248.16281,170.123
No Time For Tears,The Elgins,1966,0,179.9571,111.786
Bury My Head,Kate Walsh,2007,0.610642378,232.202,116.098
The Bump,Commodores,1974,0.65048808,248.37179,101.562
Tranen Gelachen,Guus Meeuwis,2007,nan,198.42567,185.925
Through The Fire,Day Of Fire,2004,0.774115241,235.93751,100.171
Sharbath Gula,The Kilimanjaro Darkjazz Ensemble,2009,0.549472919,347.27138,186.424
Red Headed Woman,Sonny Burgess,1995,nan,129.59302,199.908
Nisam tvoj,Leb I Sol,1977,0.564985964,201.40363,178.344
Planetary,Booka Shade,2008,0.605246229,464.32608,127.005
Boombox Breakdown II,Ralph Myerz And The Jack Herren Band,2006,0,249.57342,91.503
Mama En Papa,Raymond Van Het Groenewoud,1988,nan,121.12934,100.282
The Blacksmith,Steeleye Span,1970,nan,283.71546,123.324
No Puedo Seguir (Album Version),Monica Naranjo,2002,0.304169503,268.5122,119.996
Neptune City,Nicole Atkins,2005,0.658433337,235.59791,71.32
Jesús Verbo No Sustantivo,Ricardo Arjona,1997,nan,407.17016,148.22
Ohi Maria,Articolo 31,2005,nan,345.28608,112.076
Friends,Amii Stewart,1996,0.653628682,267.12771,47.861
Better Days,Robbie Seay Band,2005,0.694029541,259.86567,166.04
C.T.Y.C. (R.I.P.) (Album Version),Madball,1994,0.238749008,129.4624,126.708
Incomunicado,Todos Tus Muertos,1991,0.299877488,122.09587,209.831
Aquellas Cosas Que Solíamos Hacer,Benito Kamelas,2005,0.504108255,310.07302,164.721
Trudi (2005 Digital Remaster),Donovan,1969,0.47643522,145.13587,190.586
Moody,ESG,1981,0.360370583,167.60118,122.809
Wishing Well,Paul Rodgers,1996,nan,270.70649,126.535
Heartbreaker,The Cardigans,1996,0.627055811,222.24934,82.13
7 Years and 50 Days,Groove Coverage,2004,nan,357.77261,139.975
Feelers,Shriekback,1982,0.265861049,407.48363,153.061
Wonderful World,Pride Of Lions,2004,0.215080319,278.9873,85.505
It Makes Me Ill,N Sync,2000,nan,205.7922,83.56
No Reason Why,The Mob,2005,0.266955186,203.57179,95.989
Right Now,The Peepshows,1999,0.304169503,179.77424,175.32
Ese Tren De La Vida,Isabel Pantoja,1985,0,211.46077,117.243
Afraid,Mötley Crüe,1997,nan,237.24363,123.999
In The Shelter of Your Wings,Kathy Troccoli,2005,0,235.17995,128.284
Let's Go,Vardis,1997,nan,208.3522,105.732
17 Cents,The Infamous Stringdusters,2010,nan,160.44363,200.404
It's Christmas Once Again,Frankie Lymon,1992,0.666518869,142.05342,162.122
Weak Spot,Evelyn Thomas,1997,0.550549108,219.61098,141.569
There's No T In Pari,Cold Blank,2009,0.266955186,378.01751,130.006
Grand Hotel,Procol Harum,1973,0.517148973,419.00363,42.872
Nazarie A Simina,Psi vojaci,2002,0,117.52444,117.213
Cupido,Alejandro Santiago,2002,0.215080319,214.64771,100.593
Better Days,Idle Sons,2006,0.253834736,221.51791,156.061
Warning Sign,Nick Heyward,1984,nan,228.362,185.489
Night Games,Graham Bonnet,1981,0.474054831,204.53832,112.234
Pakistan,Elephant Man,2004,nan,227.86567,58.63
Here To Fall,Yo La Tengo,2009,0.84876863,345.0771,156.026
Strano,Flaminio Maphia,2001,nan,67.39546,93.054
Hypnotic,Faze Action,2009,0.38293509,317.12608,118.005
Predictable (Live),Avail,2006,0.48456253,77.84444,180.548
When Love Begins,Don McLean,1977,0.38708888,210.49424,87.47
Whenever I Call You Friend,Melissa Manchester,2004,nan,286.9024,108.409
Stanky Legg,GS Boyz,2009,0.779431991,233.01179,154.038
Invention,Pedro The Lion,1999,0.547324832,283.27138,61.451
Movin',Al Turner,2008,0.265861049,265.92608,210.076
Slow Poke,Pee Wee King,1989,0.511424326,171.20608,141.027
The Invoking (Album Version),Suffocation,1995,0.225098141,276.61016,209.715
Fabulous (Album Version),Jaheim,2002,0,227.7873,152.192
Faceless Lord,Niko Skorpio,2004,nan,345.88689,97.002
The Marauders,Tears For Fears,1983,0.67072836,253.90975,169.113
Song Of The Sierras,Jimmy Wakely,2002,0.253834736,177.47546,125.727
I'm A Racehorse!,Mark Isham,2005,0,170.84036,128.508
Venus,Bananarama,1986,0.778768264,219.0624,125.662
Goodbye My Love_ Goodbye,Dieter Thomas Kuhn & Band,2006,0.215080319,213.10649,104.95
What You Give,Tesla,1991,nan,448.96608,84.198
Summer Tunneling,Aarktica,2006,0.270775999,389.3024,90.011
Tant Que Parle l'Economie,Silmarils,1997,0.345802234,234.86649,155.978
It's Warmer In The Basement,Cobra Starship,2006,nan,176.97914,159.962
Dosvedanya Mio Bombino,Pink Martini,2007,nan,281.83465,114.101
Prélude from Partita No. 3 for Solo Violin (BWV 1006),Béla Fleck,2001,0.215080319,226.01098,226.453
Chasing The Dragon,August Burns Red,2009,0.608552821,260.98893,134.59
India'Song,India.Arie,2006,0.613045836,326.76526,115.387
Indián,Pál Utcai Fiúk,2000,nan,299.98975,166.66
Untold Stories,Meat Beat Manifesto,1992,0.425124658,112.48281,92.708
Good Stuff,Newsboys,1999,0.467852422,179.17342,95.959
Zentinel,Dismal Euphony,2001,nan,419.5522,104.228
Fireman,Sister Sledge,1975,nan,219.71546,116.892
Junkies (Album Version),Time Again,2006,0.454042766,87.77098,126.542
Untold,Octagen,2007,nan,417.01832,137.861
The Rising Sign,Keep Of Kalessin,2008,0.555800282,446.48444,122.488
Metropolice,Blood Stain Child,2007,0.649469864,254.6673,196.939
You're Alright,Brant Bjork,2004,0.524969055,216.34567,120.421
Bay Of Mexico,The Kingston Trio,1958,0.377531645,172.48608,139.706
Whisky Priests,Jah Wobble's Invaders Of The Heart,1994,0.352232225,281.62567,127.777
Thoughts,Margo Guryan,1968,nan,134.63465,110.158
Little Wing,Concrete Blonde,1994,0.605645837,253.51791,42.805
Monkey Pants,The Waybacks,2003,nan,281.44281,119.361
Magic Wand,Don & Juan,1995,0,140.32934,102.489
Where The Tarantula Lives (Album Version),The Dead Milkmen,1986,0.26037635,163.83955,126.128
Run Away,Shebang,2001,0.212045405,216.5024,147.976
Tell Me Why,M.F.S.B,1980,0,238.36689,110.068
The Night,Novecento,1986,0.212045405,248.21506,110.174
Madhouse,Jack Bruce,2008,0,223.37261,140.113
Greener Pastures,Free Kitten,1994,0.407233015,152.05832,94.886
Intro,Declaime,1999,0.562282077,41.32526,99.779
Voy a perder el miedo (Spunky),Fangoria,2000,0.304169503,473.65179,126.943
Limelight,Frank Chacksfield,2001,0.661445223,143.20281,33.829
Then It Really Happens (Album Version),Mark Eitzel,1997,0.194420683,267.57179,120.158
Come Back To Sorrento,Tony Mason-Cox,1993,nan,141.00853,86.43
Brash & Vulgar,In Flagranti,2009,0.519448581,172.72118,58.524
Din frihet är din grav,Asta Kask,2006,0.480934213,113.00526,169.354
Big Time Sensuality (Justin Robertson Lionrock Wigout Vox),Björk,1993,nan,441.36444,116.865
The Key,Speech Debelle,2009,nan,179.3824,99.954
Low Go (Darko Esser No Go Rmx),Roland M. Dill,2010,nan,363.36281,126.987
Everybody 9.0,Rocco,2009,nan,298.84036,141.984
Open Your Eyes_ You Can Fly,Flora Purim,1976,0.427446571,269.45261,210.999
So Run Down,The Psychedelic Furs,1981,nan,184.60689,160.367
Break Of Dawn (Original Mix),Rhythm On The Loose,1998,nan,330.00444,125.863
Happier Times,Joe Bonamassa,2009,0.60146314,399.09832,80.312
What You Want,Kitbuilders,2002,nan,350.71955,124.936
Oh La La Satan,Mustard Pimp,2008,nan,391.00036,130.034
Black And White Boy,Crowded House,2007,0.565230454,240.3522,119.191
Barre Baby (feat. Ronnetta Spencer),Big Moe,2000,nan,179.40853,129.232
PATT (Party All The Time),Sharam,2006,0,136.07138,132.041
Arcade Robot,Boys Noize,2007,0.674055472,254.48444,128.081
Saints,The Breeders,1993,0.810041826,152.18893,114.943
Carnaval,Bellini,1997,nan,214.09914,134.132
Agogo Mosse,Safri Duo / Clark Anderson,2003,0.460541281,272.03873,126.015
Stardancer (From EP RP-2),Lbh - 6251876,1999,0.215080319,436.89751,138.796
La suite,Elbicho,2005,nan,880.16934,66.328
Ghostship: i) The Gathering The Night Before,Shadow Gallery,1995,0.392008771,162.19383,118.073
Descent Into Chaos,Nightrage,2005,0.526706659,185.44281,240.231
Starts To Beat Again,Same Difference,2008,0.437036204,252.99546,112.897
Children Of the Light,Super Heroines,1993,0,263.20934,166.305
Like The Dew (Album Version),Angella Christie,2008,0.234976868,233.27302,153.961
Himno Del Liceo Guillermo Rivera De Viña Del Mar,Los Jaivas,1973,0,23.35302,98.07
This Far From The Sky (Demo),Anekdoten,2009,nan,557.21751,146.307
The Rabbit Hole,Peter Horrevorts,2007,nan,420.70159,96.789
In The Park,Lonnie Liston Smith,1996,0.546069199,260.12689,237.989
The March Of The War Elephants,Reverend Bizarre,2004,0.554452304,497.13587,38.806
Mellan Havet Och Sorg,[ingenting],2006,0.400039657,50.57261,111.757
Money's No Good (LP Version),Off Broadway,1979,0.263658584,183.53587,124.398
Anger and Apathy,As I Lay Dying,2010,0.697915933,265.56036,153.992
Your Wish Is My Wish,Sarah Slean,2004,0.542710075,207.72526,104.575
People,Charlie Hunter,2003,0,400.50893,87.299
Billy (Album Version),James Blunt,2004,nan,217.0771,158.232
La Receta,Kemo The Blaxican,2004,nan,226.45506,111.955
Ding Dong! Merrily On High,The Choirboys,2008,nan,129.38404,115.181
Autos Nuevos,El Cuarteto De Nos,2006,nan,252.682,89.013
But Not For Me (LP Version),Ahmad Jamal,1985,0.25541636,214.69995,62.904
Outro,Amerie,2002,0.480934213,63.16363,77.953
Como un Bolero,Paquito D'Rivera,2007,0.413752422,289.09669,179.872
Once A Week (bonustrack),Enchant,1998,0.299877488,382.85016,85.607
Pretty Boy Floyd_ Stoney Point,The Duhks,2002,0.265861049,222.11873,131.915
Tears On My Pillow,Little Anthony & The Imperials,1958,nan,136.4371,101.38
I Can't Stop,Wilson Pickett,1963,0.554452304,151.69261,99.683
Catch A Falling Star,Nina Wall,2009,0.413739836,169.40363,120.023
Picnic In Purgatory,Alvino Rey And His Orchestra,2005,nan,205.84444,89.79
Circus,Britney Spears,2008,0.53336702,317.57016,84.661
Bring Love,Carlene Carter,2008,0,222.56281,126.522
Wormz on day,Antaeus,2002,nan,165.69424,136.081
Jailbait,Alex Chilton,1989,0.266955186,212.50567,132.37
Tough Guys,King Kobra,1985,0.65766924,263.60118,121.666
Out Of Control,EDGUY,1998,0.345802234,434.33751,93.117
Ai Ai Ai,Normaal,1980,nan,201.56036,167.374
Thank You For Calling,Dino Psaras,2004,0.469712431,479.9473,145.03
Twilight,The Twilight Singers,2000,0.520564622,357.79873,159.198
Heathens,Bestial Warlust,1994,0.559395017,287.03302,174.222
Find The Time (Album Version),Get Cape. Wear Cape. Fly,2008,0,167.78404,107.982
Clara meets Tonee and Slope - Just Let Me Know,Clara Hill,2006,0.439202489,220.76036,103.039
Crush My Soul (Ultramix),Godflesh,1995,0.450762242,898.53342,130.005
2AM,The Primary 5,2007,nan,189.962,121.052
O Som Da Sua Voz,Skank,2006,nan,287.26812,89.021
Soul By The Pound,Common,1992,0.554384121,261.35465,191.408
Your Bag,Lida Husik,1992,0.229144104,320.7571,97.094
I Worship Raw Beats,Weatherbox,2007,0.531580241,224.91383,137.01
Athens To Athens,Joe Bonamassa,2010,0.585116487,146.72934,106.067
Znaj!,Beogradski Sindikat,2002,0,262.26893,97.005
Capcavernal,Mr. Projectile,2001,0.38293509,275.98322,176.733
La Salsa La Traigo Yo,Sonora Carruseles,2003,0.560644008,260.12689,113.788
Rock This Town,Brian Setzer Orchestra,1998,nan,455.83628,105.304
Always Turn Away (2006 Remastered Album Version),Mark Eitzel,1996,0.430160637,266.97098,110.233
Remexendo,Camerata Brasil,2000,0,175.22893,201.64
Es Hat Keinen Namen,Jens Friebe,2005,0.377531645,211.722,125.995
You Always Hurt The One You Love,"Clarence ""Frogman"" Henry",1987,nan,152.45016,112.119
Addicted to You,Gregory Isaacs,1986,nan,278.77832,94.987
The Memory,Roy Ayers,2003,0.748207055,270.62812,154.039
All I Need,Bethany Dillon,2004,nan,197.17179,100.02
Sweeter As The Days Go By,Frank Wilson,1965,0.332070982,171.33669,192.392
The End of the Universe,Lewis Black,2003,0.74276014,230.94812,120.846
Absorb Those Numbers,Marnie Stern,2007,0.681714189,200.80281,71.01
When You Said You Headed Home,Winter Took His Life,2007,nan,216.81587,145.308
Chip On My Shoulder,Cock Sparrer,1987,nan,143.90812,103.559
Heidi,No Sports,1993,0.386477291,193.20118,179.347
Yellow Bamboo,Kraan,1975,0.407901717,265.45587,90.355
ELO Kiddies,Cheap Trick,1977,nan,221.25669,131.28
The Child Is Gone,Fiona Apple,1996,0.668727273,254.87628,96.817
Observatorio,Mikel Erentxun,1995,0.370960941,260.07465,141.892
Pobrecilla,L-Kan,2007,nan,207.82975,106.204
Happy Feet,Randy Crawford,1983,0.405115722,295.05261,113.009
The Strangers,St. Vincent,2009,0.756052508,244.84526,140.977
hiersein,Kettcar,2002,nan,272.90077,100.004
Cake,The B-52's,1982,0.48306456,351.03302,127.702
The Waitress In The Bar Orbiting Io,Thought Industry,2001,0.379523324,258.35057,134.097
The Art Of Letting Go,Rebecka Törnqvist,2004,0.304169503,183.17016,75.236
Mon,MIDI Lidi,2009,0.454192988,211.66975,85.31
An American Dream,Film School,2009,0.585979766,342.41261,148.002
Toujours Autant Besoin D'amour,Liane Foly,2001,nan,199.18322,117.973
Qué Bueno Que No Fui Lady Di,Gloria Trevi,1999,nan,219.14077,212.002
RISE FROM RUIN,Born From Pain,2003,0.215080319,145.97179,150.921
The One We Did Last Monday,Being 747,2004,nan,395.67628,125.535
Life,Atheist,1989,nan,191.9473,95.139
The Game of Who Needs Who the Worst,Cursive,2000,0.728764035,214.7522,121.514
Let No Man Put Asunder,Mary J. Blige,1999,nan,321.43628,119.669
Dans Le Bruit,Cornu,2000,0.253834736,206.96771,129.974
Sheltered By Inferno,My Own Grave,2005,0.401486711,135.94077,231.147
Portate Bien,Mutandina,2005,0,358.63465,102.003
Child Of Love,Sara Groves,2002,0.620927227,205.89669,124.967
Fishnet Stockings,Stray Cats,1981,nan,223.13751,118.763
Worth It,Whitney Houston,2009,0.599204319,279.66649,129.624
Shingaling,Jean Claude Ades & Vincent Thomas,2008,nan,383.89506,125.991
Crepuscule With Nellie,The Microscopic Septet,2006,nan,313.33832,60.815
Say Goodbye,Star Off Machine,2008,0,256.20853,92.709
Bitter (LP Version),Remy Zero,2001,0.593573745,235.7024,164.006
The Last Rose Of Summer,Leroy Anderson,1992,nan,201.74322,71.157
From The Flagstones,Cocteau Twins,1983,nan,220.44689,159.808
The Best Revenge (autoKratz Righteous Retribution Mix),Fischerspooner,2008,nan,208.43057,185.99
I'm Not That Girl (Reprise),Kristin Chenoweth,2008,0.72058823,50.18077,81.867
Flying By (Alone),Coronatus,2009,0.513517029,302.57587,140.154
Walk Into Mirrors (Album Version),Dumptruck,2003,0,207.43791,156.712
You're An Original,Sheryl Crow,2002,nan,352.26077,107.813
Open Up Your Mind (KLM Club Mix),Eyes Cream,2002,0,488.202,127.983
O Nego No Samba,Carmen Miranda,1999,nan,204.43383,97.709
Snakeskin Belt Through Loose Hoops,The Capstan Shafts,2007,0.266955186,67.5522,146.672
A Brain For The Seine - Original,Art Ensemble Of Chicago,2001,nan,1218.55955,57.795
Good To Go To Mexico,Toby Keith,2002,0.536788886,179.40853,67.446
The Model,Carter The Unstoppable Sex Machine,2000,0.265861049,175.43791,181.247
One Hand Loose,Charlie Feathers,1987,nan,143.51628,178.593
Inside,Moby,1999,0.686776322,286.9024,95.059
Angry,Public Image Ltd,1987,0.62799001,253.1522,121.245
At a springe-wel,Mediaeval Baebes,2000,0.456949544,81.68444,57.475
Its Getting Colder,Cass McCombs,2002,0.419674279,236.82567,98.354
